Study_id,Species,Tags_type,Longitude,Latitude,FAO_zone,Sample_date,Ecosystem,Publication_date,Reference
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-37.56282281,59.77013098,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-36.48799655,60.05047762,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,15.94479323,75.04606782,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,21.94847329,70.60900703,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,19.56637751,70.81740907,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,22.02207435,71.86779118,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,24.09937935,70.68019054,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,28.08798401,73.13006735,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,24.70573751,73.89732711,"Atlantic, Northeast",2000,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-46.28857825,47.17763345,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-45.67308711,46.82834178,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-44.28899312,46.33963787,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-43.98151616,46.26988699,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-46.13134776,45.77912368,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-46.1326013,46.26863344,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-46.90192046,46.68776554,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-45.82673605,46.82825224,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-58.47053943,64.23347147,"Atlantic, Northwest",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-35.72136356,60.680295,"Atlantic, Northeast",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-26.35325527,62.43400602,"Atlantic, Northeast",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_marinus,Microchemistry,-24.65917723,60.89653171,"Atlantic, Northeast",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-38.94584233,59.8392551,"Atlantic, Northeast",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-36.48781747,59.98054765,"Atlantic, Northeast",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-27.88920742,62.22332073,"Atlantic, Northeast",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-25.42419851,59.63734463,"Atlantic, Northeast",2001,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes_mentella,Microchemistry,-34.95455149,61.24018242,"Atlantic, Northeast",2002,Marine areas,2005,"Stransky, C., Garbe-Schonberg, C. D., & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
